query,result
something on Netflix under 90 minutes,"{""viewer_experience"": {""relevance"": ""not_relevant"", ""justification"": ""The query only specifies streaming platform (Netflix) and runtime constraint (under 90 minutes), with no experiential language about how the movie feels to watch.""}, ""plot_analysis"": {""relevance"": ""not_relevant"", ""justification"": ""The query is purely about streaming platform availability and runtime logistics, with no mention of genre, theme, story type, or thematic content.""}, ""plot_events"": {""relevance"": ""not_relevant"", ""justification"": ""The query specifies streaming platform availability and runtime duration, both of which are production/distribution facts with no mention of plot events, settings, or character situations.""}, ""reception"": {""relevance"": ""not_relevant"", ""justification"": ""The query specifies a streaming platform and runtime duration with no evaluative language, acclaim mentions, or reception-based criteria.""}, ""narrative_techniques"": {""relevance"": ""not_relevant"", ""justification"": ""The query specifies streaming platform availability and runtime duration, with no mention of narrative techniques, structural choices, or storytelling craft.""}, ""watch_context"": {""relevance"": ""not_relevant"", ""justification"": ""The user is searching purely by platform availability and runtime duration, with no mention of motivations, scenarios, features, or audience fit that this vector contains.""}, ""production"": {""relevance"": ""large"", ""justification"": ""User explicitly specifies Netflix (studio/platform) and runtime under 90 minutes, both of which are pre-release production/distribution metadata.""}}"
"set in Boston during a blizzard, but filmed in Toronto","{""plot_analysis"": {""relevance"": ""not_relevant"", ""justification"": ""The query specifies production facts (setting, filming location) with no mention of genre, theme, story type, or what the movie is about.""}, ""viewer_experience"": {""relevance"": ""not_relevant"", ""justification"": ""The query describes only production facts (setting location, filming location, weather as plot element) with zero experiential language about how the movie feels to watch.""}, ""production"": {""relevance"": ""large"", ""justification"": ""The query explicitly specifies a filming location (Toronto), which is direct production metadata, making this highly relevant to the production vector despite the story setting being Boston.""}, ""reception"": {""relevance"": ""not_relevant"", ""justification"": ""The query focuses purely on production facts (setting location, filming location, weather condition) without any evaluative framing, critical reception, or discussion of how the movie was received.""}, ""watch_context"": {""relevance"": ""not_relevant"", ""justification"": ""The query searches by plot setting (Boston, blizzard) and production fact (filmed in Toronto), neither of which relates to watch motivations, scenarios, feature draws, or audience fit.""}, ""narrative_techniques"": {""relevance"": ""not_relevant"", ""justification"": ""The query specifies setting (Boston), weather event (blizzard), and production location (Toronto) \u2014 none of which relate to narrative techniques, story structure, or how the story is told.""}, ""plot_events"": {""relevance"": ""small"", ""justification"": ""The query explicitly specifies a story setting ('set in Boston during a blizzard') which is directly relevant to plot events, but also includes production information ('filmed in Toronto') which is not; the plot component is present but partially diluted by production details.""}}"
"Oscar-winning cinematography, but the story is messy","{""plot_analysis"": {""relevance"": ""not_relevant"", ""justification"": ""The query focuses on production quality (cinematography awards) and a negative assessment of narrative coherence, with no mention of genre, theme, story type, or what the movie means thematically.""}, ""watch_context"": {""relevance"": ""large"", ""justification"": ""User explicitly cites 'Oscar-winning cinematography' as a feature draw \u2014 a direct reason-to-choose based on visual quality, which is core to this vector's contents about why/when to watch.""}, ""plot_events"": {""relevance"": ""small"", ""justification"": ""The query primarily focuses on production quality (cinematography) and a vague negative assessment of story coherence, with no specific plot events, settings, or character situations mentioned.""}, ""viewer_experience"": {""relevance"": ""small"", ""justification"": ""The query contains one experiential element ('messy' describing story feel) but primarily focuses on production quality (Oscar-winning cinematography) and plot assessment rather than searching by viewer experience.""}, ""narrative_techniques"": {""relevance"": ""not_relevant"", ""justification"": ""The query evaluates production quality (cinematography) and experiential reaction to plot coherence ('messy'), with no mention of narrative techniques, structural choices, or storytelling craft.""}, ""reception"": {""relevance"": ""large"", ""justification"": ""The query explicitly references an award ('Oscar-winning') and uses evaluative language about both praised ('cinematography') and criticized ('messy') qualities, directly matching reception vector contents about how movies are discussed and reviewed.""}, ""production"": {""relevance"": ""not_relevant"", ""justification"": ""The query references 'Oscar-winning' which is reception/awards metadata, not production facts, and 'messy story' relates to plot quality\u2014neither targets how/when/where/by whom the film was made.""}}"
"found footage horror, no jump scares, creepy dread","{""narrative_techniques"": {""relevance"": ""large"", ""justification"": ""User explicitly requests 'found footage' \u2014 a cinematographic narrative technique \u2014 as their primary search criterion.""}, ""plot_analysis"": {""relevance"": ""large"", ""justification"": ""The user explicitly specifies genre ('found footage horror') and a desired atmospheric quality ('creepy dread' vs 'jump scares'), which directly maps to genre labels and thematic/experiential tone that plot analysis vectors capture.""}, ""viewer_experience"": {""relevance"": ""large"", ""justification"": ""The query explicitly uses experiential negation ('no jump scares') and experiential descriptors ('creepy dread') to define how the movie should feel to watch, making viewer experience the primary search criterion.""}, ""plot_events"": {""relevance"": ""not_relevant"", ""justification"": ""The query specifies genre label (found footage horror), technique preference (no jump scares), and emotional experience (creepy dread) \u2014 none of which describe literal plot events, settings, or character situations.""}, ""reception"": {""relevance"": ""small"", ""justification"": ""The query includes 'no jump scares' and 'creepy dread' which are qualities reviewers discuss when evaluating horror films, though the primary search intent is for subgenre (found footage) and technique rather than reception.""}, ""production"": {""relevance"": ""medium"", ""justification"": ""The user explicitly specifies 'found footage,' which is a production format/medium choice (how the movie was made), though 'no jump scares' and 'creepy dread' relate to technique and viewer experience rather than production facts.""}, ""watch_context"": {""relevance"": ""medium"", ""justification"": ""The query specifies 'no jump scares' and 'creepy dread' which relate to viewing experience and motivation (wanting sustained atmosphere over cheap thrills), though 'found footage horror' is primarily a technique/genre classification.""}}"
"critics hated it but I love it anyway, fun guilty pleasure","{""narrative_techniques"": {""relevance"": ""not_relevant"", ""justification"": ""The query searches by reception ('critics hated it') and experiential quality ('fun', 'guilty pleasure'), with no reference to narrative structure, POV, time structure, or any storytelling craft elements.""}, ""viewer_experience"": {""relevance"": ""large"", ""justification"": ""User explicitly searches by experiential descriptors: 'fun' (emotional tone), 'guilty pleasure' (self-aware viewing experience), and the critics/audience tension signals they're prioritizing subjective feeling over objective quality \u2014 all core to viewer experience.""}, ""plot_events"": {""relevance"": ""not_relevant"", ""justification"": ""The query focuses entirely on critical reception and personal emotional response ('guilty pleasure', 'fun'), with zero reference to plot events, settings, or character situations.""}, ""plot_analysis"": {""relevance"": ""not_relevant"", ""justification"": ""The query focuses entirely on reception/critical consensus and personal viewing experience ('guilty pleasure'), with no reference to genre, theme, story type, or what the movie is about.""}, ""production"": {""relevance"": ""not_relevant"", ""justification"": ""The query focuses entirely on reception ('critics hated it') and viewer experience ('fun guilty pleasure'), with no mention of production facts like director, decade, format, or how the movie was made.""}, ""reception"": {""relevance"": ""large"", ""justification"": ""The query explicitly contrasts critical reception ('critics hated it') with personal enjoyment, using evaluative framing ('guilty pleasure') that directly describes how the movie was received and discussed by others.""}, ""watch_context"": {""relevance"": ""large"", ""justification"": ""The user explicitly describes a motivation for watching (seeking a 'guilty pleasure' that provides fun despite critical dismissal) and a viewing scenario/attitude (embracing something unironically enjoyable regardless of reputation), which directly maps to the vector's focus on why and when someone chooses to watch.""}}"
"real-time thriller in one apartment, ticking clock deadline, no flashbacks","{""narrative_techniques"": {""relevance"": ""large"", ""justification"": ""User explicitly requests three distinct narrative techniques: real-time structure, ticking clock device, and absence of flashbacks (time structure constraint).""}, ""plot_events"": {""relevance"": ""large"", ""justification"": ""User explicitly describes concrete plot mechanics: real-time structure, single location setting, ticking clock deadline device, and absence of flashbacks \u2014 all specific narrative events and story constraints.""}, ""reception"": {""relevance"": ""not_relevant"", ""justification"": ""The query describes plot structure and narrative technique (real-time, single location, ticking clock, no flashbacks) without any evaluative language about how the movie was received, reviewed, or discussed by critics or audiences.""}, ""watch_context"": {""relevance"": ""not_relevant"", ""justification"": ""The query describes plot structure and narrative technique (real-time, single location, no flashbacks) without any mention of why/when to watch, motivations, scenarios, or feature draws that would drive movie selection.""}, ""viewer_experience"": {""relevance"": ""small"", ""justification"": ""While 'real-time' and 'ticking clock' imply experiential pacing (relentless/urgent), the query primarily describes plot mechanics and technique constraints without emotional or experiential language; 'no flashbacks' is a structural negation, not an experiential one.""}, ""production"": {""relevance"": ""small"", ""justification"": ""The query primarily describes narrative structure (real-time, single location, no flashbacks) which relates to plot_events and storytelling technique rather than production facts like filming location, budget, or crew; 'no flashbacks' touches on editing approach which is marginally production-related but minor overall.""}, ""plot_analysis"": {""relevance"": ""medium"", ""justification"": ""The query specifies 'real-time thriller' (genre) and 'ticking clock deadline' (thematic tension device), which are plot analysis elements, but heavily constrains by structural/production mechanics (single location, no flashbacks) that fall outside this vector's scope.""}}"
"multiple POVs, unreliable narrator, twist ending explained at the end","{""viewer_experience"": {""relevance"": ""not_relevant"", ""justification"": ""The query describes narrative techniques and plot structure (multiple POVs, unreliable narrator, twist ending) without any experiential language about how the movie feels to watch.""}, ""plot_events"": {""relevance"": ""not_relevant"", ""justification"": ""The query searches for narrative techniques (multiple POVs, unreliable narrator, twist ending structure) rather than what literally happens in the story\u2014no plot events, settings, or character situations are specified.""}, ""production"": {""relevance"": ""not_relevant"", ""justification"": ""The query describes narrative structure and storytelling techniques (multiple perspectives, unreliable narrator, twist ending), which are plot/storytelling elements rather than production facts about how, when, where, or by whom the movie was made.""}, ""reception"": {""relevance"": ""small"", ""justification"": ""The query describes narrative techniques (multiple POVs, unreliable narrator, twist ending) without evaluative language, though these features are often discussed in reviews when analyzing how well a film executes its storytelling.""}, ""narrative_techniques"": {""relevance"": ""large"", ""justification"": ""The user explicitly searches by three distinct narrative techniques: multiple POVs (point of view), unreliable narrator (information control/POV), and twist ending (information control).""}, ""plot_analysis"": {""relevance"": ""medium"", ""justification"": ""The query contains strong thematic/storytelling elements: unreliable narrator and twist ending are narrative devices that directly relate to story type and psychological thriller/mystery genres, though multiple POVs is more of a structural technique; the user is searching by narrative style and story construction which partially aligns with plot analysis content.""}, ""watch_context"": {""relevance"": ""not_relevant"", ""justification"": ""The query searches purely by narrative technique (multiple POVs, unreliable narrator) and plot structure (twist ending explained), with no mention of motivations, scenarios, features as reasons-to-watch, or audience fit.""}}"
"directed by Quinten Tarantino, snappy dialogue, violent but funny","{""production"": {""relevance"": ""large"", ""justification"": ""User explicitly names director Quentin Tarantino, which is a core production fact; 'snappy dialogue' and 'violent but funny' describe his signature style but the primary search anchor is the director credit.""}, ""viewer_experience"": {""relevance"": ""large"", ""justification"": ""The query explicitly uses experiential language: 'snappy dialogue' describes pacing/energy, 'violent but funny' describes a tonal blend of intensity with levity \u2014 both are direct searches for how the movie feels to watch.""}, ""plot_events"": {""relevance"": ""not_relevant"", ""justification"": ""The query searches by director (production), dialogue style (narrative_techniques), and tone/vibe (viewer_experience) \u2014 no specific plot events, settings, or character situations are mentioned.""}, ""narrative_techniques"": {""relevance"": ""not_relevant"", ""justification"": ""The query searches by director name, dialogue style, and tone/experience (violent but funny) \u2014 none of these are narrative structural techniques like POV, time structure, or information control.""}, ""watch_context"": {""relevance"": ""medium"", ""justification"": ""The query includes 'snappy dialogue' as a feature draw (reason-to-choose) and 'violent but funny' as motivation/tone preference, though 'directed by Tarantino' is pure production fact that doesn't align with this vector.""}, ""plot_analysis"": {""relevance"": ""medium"", ""justification"": ""The query references Tarantino's distinctive style which encompasses genre elements (violent comedy, crime) and thematic signatures, but 'directed by' and 'snappy dialogue' emphasize production/execution rather than story type or meaning.""}, ""reception"": {""relevance"": ""medium"", ""justification"": ""The query includes evaluative descriptors ('snappy dialogue', 'violent but funny') that reflect how Tarantino's films are praised and discussed in reviews, though the director name is a production fact that carries significant search weight.""}}"
"movies with Jack Sparrow energy but not Pirates, witty swashbuckling","{""plot_events"": {""relevance"": ""small"", ""justification"": ""The query primarily seeks a vibe/energy and character archetype (witty swashbuckler) rather than specific plot events, though 'swashbuckling' implies action-adventure plot elements that could loosely match.""}, ""viewer_experience"": {""relevance"": ""large"", ""justification"": ""The user explicitly searches for 'Jack Sparrow energy' \u2014 a vibe/archetype feel \u2014 and uses experiential descriptors 'witty' and 'swashbuckling' to describe the desired tone and energy of watching.""}, ""narrative_techniques"": {""relevance"": ""not_relevant"", ""justification"": ""User is searching by character archetype/personality ('Jack Sparrow energy') and genre elements ('swashbuckling'), not by narrative structure or storytelling technique.""}, ""reception"": {""relevance"": ""medium"", ""justification"": ""The query uses evaluative language ('witty') and references a character's reception ('Jack Sparrow energy' implies how the character is perceived/discussed), indicating the user is thinking about praised qualities and tone as discussed in reviews, though the core search is for character similarity.""}, ""production"": {""relevance"": ""not_relevant"", ""justification"": ""The query references 'Jack Sparrow energy' and 'witty swashbuckling' which describe aesthetic/vibe and genre tone, not production facts like cast, crew, filming location, or medium; the explicit exclusion of 'Pirates' refers to the franchise's story/characters rather than production metadata.""}, ""watch_context"": {""relevance"": ""medium"", ""justification"": ""The query seeks a specific tone/mood ('witty swashbuckling') and character energy, which relates to motivation (want fun, adventure, clever humor) and feature draws (witty dialogue, charismatic lead), though it's partially anchored to a specific character reference rather than explicit scenario or audience context.""}, ""plot_analysis"": {""relevance"": ""medium"", ""justification"": ""The user wants a specific character archetype (witty swashbuckler) and story type (swashbuckling adventure), which relates to genre and character-driven themes in plot_analysis, though the 'Jack Sparrow energy' framing is partially about performance style and tone rather than pure thematic content.""}}"
"ultra-gory body horror, disgusting, make me squirm","{""narrative_techniques"": {""relevance"": ""not_relevant"", ""justification"": ""The user is searching by experiential and sensory qualities (gore, disgust, physical reaction) rather than any narrative technique, structure, or storytelling method.""}, ""plot_events"": {""relevance"": ""not_relevant"", ""justification"": ""The user is searching by visceral viewer experience and emotional reaction ('make me squirm'), not by what literally happens in the plot\u2014no specific events, settings, or character situations are described.""}, ""production"": {""relevance"": ""not_relevant"", ""justification"": ""This query describes desired viewer experience (gore intensity, emotional/physical reaction) with no mention of production elements like director, effects approach, budget, country of origin, or filming techniques.""}, ""plot_analysis"": {""relevance"": ""not_relevant"", ""justification"": ""The user is searching by visceral experience and sensory reaction ('make me squirm'), not by thematic content, story type, or what the film means\u2014this is purely about viewing experience and graphic content, which falls outside plot analysis scope.""}, ""viewer_experience"": {""relevance"": ""large"", ""justification"": ""User explicitly searches by visceral sensory and emotional experience using experiential descriptors ('ultra-gory', 'disgusting', 'make me squirm') that directly map to disturbance level and sensory intensity in the viewer experience vector.""}, ""watch_context"": {""relevance"": ""large"", ""justification"": ""The user explicitly states a motivation ('make me squirm') and seeks specific visceral features ('ultra-gory,' 'disgusting') as reasons to choose a movie, directly aligning with this vector's focus on motivations and feature draws for viewing decisions.""}, ""reception"": {""relevance"": ""small"", ""justification"": ""While 'disgusting' and 'make me squirm' are evaluative reactions, they primarily describe the viewer's intended physical/emotional experience rather than how critics or audiences discuss or evaluate the film's reception; this is mainly about seeking a specific visceral experience.""}}"
"background while coding, dialogue not important, chill visuals, low volume","{""plot_events"": {""relevance"": ""not_relevant"", ""justification"": ""The user is searching entirely by viewing experience (chill vibes, background use, low dialogue, visual aesthetic) with no reference to plot events, settings, or story content.""}, ""plot_analysis"": {""relevance"": ""not_relevant"", ""justification"": ""The query is purely about viewing context (background entertainment) and technical viewing preferences (visuals, volume, dialogue level), with no reference to genre, theme, story type, or meaning.""}, ""watch_context"": {""relevance"": ""large"", ""justification"": ""User explicitly specifies a scenario (background while coding), motivation (chill, low cognitive load), and feature draws (chill visuals, dialogue not important, low volume) \u2014 all core to the WATCH CONTEXT vector.""}, ""production"": {""relevance"": ""not_relevant"", ""justification"": ""The query focuses entirely on viewer experience (chill visuals, background viewing, low volume needs) with no mention of production facts like decade, director, language, format, or filming details.""}, ""narrative_techniques"": {""relevance"": ""not_relevant"", ""justification"": ""The user is searching by experiential/functional criteria (ambient background viewing, visual style, audio level) with no mention of narrative structure, POV, time techniques, or storytelling craft.""}, ""viewer_experience"": {""relevance"": ""large"", ""justification"": ""User explicitly searches by experiential qualities: 'chill visuals' (aesthetic/tone), 'low volume' (sensory intensity), 'dialogue not important' (cognitive load/pacing), and 'background while coding' implies relaxed, non-distracting viewing experience.""}, ""reception"": {""relevance"": ""small"", ""justification"": ""The query contains 'chill visuals' which could appear in reviews as evaluative language about a film's aesthetic qualities, but the primary intent is about watch context (background viewing) and sensory experience rather than how movies were received or discussed.""}}"
"family movie night with kids, not babyish, jokes for adults too","{""plot_events"": {""relevance"": ""not_relevant"", ""justification"": ""The query describes target audience (family, kids, adults), tone requirements (not babyish), and desired experience (jokes for adults), with no mention of plot events, settings, or character situations.""}, ""watch_context"": {""relevance"": ""large"", ""justification"": ""The query explicitly specifies a scenario (family movie night with kids), audience constraints (not babyish), and feature draws (jokes for adults too), all directly matching the vector's contents.""}, ""production"": {""relevance"": ""not_relevant"", ""justification"": ""The query describes target audience (families with kids) and desired tone (not babyish, adult jokes), which relates to content themes and viewer experience, not how/when/where/by whom the movie was made.""}, ""narrative_techniques"": {""relevance"": ""not_relevant"", ""justification"": ""The user is searching by target audience (family, kids, adults) and desired experience (humor balance), with no mention of narrative structure, POV, time structure, or any storytelling technique.""}, ""plot_analysis"": {""relevance"": ""small"", ""justification"": ""The query focuses on viewing context (family movie night) and audience experience (jokes for adults, not babyish), which are logistical and experiential criteria rather than thematic or story-type intentions, though 'family-friendly' implies some thematic boundaries.""}, ""reception"": {""relevance"": ""small"", ""justification"": ""The phrase 'jokes for adults too' implies awareness of how parents/critics discuss and evaluate family films in reviews, though the primary intent is watch context (family viewing setup) and viewer experience (not babyish).""}, ""viewer_experience"": {""relevance"": ""large"", ""justification"": ""User explicitly searches by experiential qualities: 'not babyish' is a negation of tone/feel, and 'jokes for adults too' describes the viewing experience of layered humor, making this a clear search for how the movie feels to watch.""}}"
Her but not the one with Joaquin Phoenix,"{""watch_context"": {""relevance"": ""not_relevant"", ""justification"": ""The user is searching by title (\""Her\"") and explicitly excluding a specific version/production, which is purely about identifying/eliminating a particular movie rather than any watch context, motivation, scenario, or feature draw.""}, ""narrative_techniques"": {""relevance"": ""not_relevant"", ""justification"": ""The user is disambiguating which movie titled 'Her' they mean by excluding the Spike Jonze film; this is a production/identity query with no narrative technique content.""}, ""production"": {""relevance"": ""large"", ""justification"": ""The user explicitly names a specific actor (Joaquin Phoenix) to exclude, which is a direct production/cast-based search criterion \u2014 they are trying to find a movie based on who was NOT in it.""}, ""viewer_experience"": {""relevance"": ""small"", ""justification"": ""The user references 'Her' which has strong experiential associations (melancholic, intimate, bittersweet), but the query focuses on disambiguating which film they mean rather than describing how they want to feel; the experiential element is implicit at best.""}, ""reception"": {""relevance"": ""small"", ""justification"": ""The query uses comparative framing ('not the one with') which implies evaluative discussion about distinguishing between similarly-titled films, but the primary intent is identification/differentiation rather than searching by how movies were received.""}, ""plot_events"": {""relevance"": ""small"", ""justification"": ""The query uses a movie reference to find something similar, but the negation ('not the one with...') suggests they're trying to exclude a specific production/actor rather than find similar plot events; the reference to 'Her' could imply interest in AI-human relationship plots, but this is ambiguous and likely more about distinguishing between films with similar titles or finding an alternative version.""}, ""plot_analysis"": {""relevance"": ""small"", ""justification"": ""The user references 'Her' likely seeking thematic similarity (AI romance, loneliness, human-technology relationships), but the negation ('not the one with Joaquin Phoenix') suggests they may actually want a different film with similar plot/character elements rather than exploring the movie's deeper meaning; thematic overlap is possible but not clearly the primary search driver.""}}"
"Korean audio with English subtitles, critics called it a slow-burn masterpiece","{""reception"": {""relevance"": ""large"", ""justification"": ""The query explicitly references critical reception ('critics called it') and uses evaluative language ('slow-burn masterpiece'), directly targeting how the movie was received and discussed.""}, ""plot_analysis"": {""relevance"": ""not_relevant"", ""justification"": ""The query specifies language, subtitle preference, and critical reception/tone ('slow-burn masterpiece'), none of which relate to plot analysis, themes, genre, or story meaning.""}, ""viewer_experience"": {""relevance"": ""medium"", ""justification"": ""The query contains 'slow-burn' which is an explicit experiential pacing descriptor, though 'Korean audio with English subtitles' and 'critics called it' are production/attribution facts rather than experiential language.""}, ""narrative_techniques"": {""relevance"": ""small"", ""justification"": ""The query primarily targets production attributes (Korean audio, subtitles) and critical reception ('masterpiece'), with 'slow-burn' being a minor pacing-related technique element that could loosely connect to narrative pacing devices.""}, ""plot_events"": {""relevance"": ""not_relevant"", ""justification"": ""The query specifies language/audio format (production), critical reception (external opinion), and pacing descriptor 'slow-burn' (viewer experience/vibe) \u2014 none of these describe what literally happens in the movie's plot.""}, ""production"": {""relevance"": ""large"", ""justification"": ""The user explicitly specifies 'Korean audio with English subtitles,' which directly matches this vector's language/audio metadata; while 'slow-burn masterpiece' refers to reception/critical response, the production elements are clearly stated and central to the search intent.""}, ""watch_context"": {""relevance"": ""small"", ""justification"": ""The query primarily focuses on technical attributes (language, subtitles) and critical reception/production description ('slow-burn masterpiece'), with 'slow-burn' weakly touching on viewing experience as a feature draw but not strongly aligning with motivations, scenarios, or reasons-to-choose features in the vector.""}}"
"adapted from a video game, big studio blockbuster, mixed reviews, amazing fight choreography","{""plot_analysis"": {""relevance"": ""not_relevant"", ""justification"": ""The query focuses entirely on production origin (video game adaptation), studio size, critical reception, and technical execution (fight choreography) \u2014 none of which relate to plot analysis, themes, genre labels, or story meaning.""}, ""plot_events"": {""relevance"": ""not_relevant"", ""justification"": ""The query focuses on adaptation source (video game), production scale (big studio blockbuster), reception (mixed reviews), and technical execution (fight choreography) \u2014 none of which describe what literally happens in the story.""}, ""reception"": {""relevance"": ""large"", ""justification"": ""The query explicitly includes 'mixed reviews' (direct reception signal) and 'amazing fight choreography' (evaluative praise that would appear in reviews), making reception a primary search criterion alongside the production details.""}, ""production"": {""relevance"": ""large"", ""justification"": ""The query contains explicit production facts: 'adapted from a video game' (source material), 'big studio blockbuster' (budget scale/studio), and 'amazing fight choreography' likely refers to stunt/action design approach; only 'mixed reviews' is non-production (reception).""}, ""viewer_experience"": ""Error: Kimi failed to generate response: Error code: 429 - {'error': {'message': 'Your account org-fad041e451234a319b3721e62ef5ae0c<ak-f81f3ah3k3wi11gjx971> request reached organization max RPM: 200, please try again after 1 seconds', 'type': 'rate_limit_reached_error'}}"", ""watch_context"": ""Error: Kimi failed to generate response: Error code: 429 - {'error': {'message': 'Your account org-fad041e451234a319b3721e62ef5ae0c<ak-f81f3ah3k3wi11gjx971> request reached organization max RPM: 200, please try again after 1 seconds', 'type': 'rate_limit_reached_error'}}"", ""narrative_techniques"": ""Error: Kimi failed to generate response: Error code: 429 - {'error': {'message': 'Organization Rate limit exceeded, please try again after 1 seconds', 'type': 'rate_limit_reached_error'}}""}"
"set in ancient Rome, political betrayal, ends on a bleak note","{""plot_analysis"": ""Error: Kimi failed to generate response: Error code: 429 - {'error': {'message': 'Organization Rate limit exceeded, please try again after 1 seconds', 'type': 'rate_limit_reached_error'}}"", ""plot_events"": ""Error: Kimi failed to generate response: Error code: 429 - {'error': {'message': 'Organization Rate limit exceeded, please try again after 1 seconds', 'type': 'rate_limit_reached_error'}}"", ""narrative_techniques"": ""Error: Kimi failed to generate response: Error code: 429 - {'error': {'message': 'Organization Rate limit exceeded, please try again after 1 seconds', 'type': 'rate_limit_reached_error'}}"", ""viewer_experience"": ""Error: Kimi failed to generate response: Error code: 429 - {'error': {'message': 'Organization Rate limit exceeded, please try again after 1 seconds', 'type': 'rate_limit_reached_error'}}"", ""production"": ""Error: Kimi failed to generate response: Error code: 429 - {'error': {'message': 'Organization Rate limit exceeded, please try again after 1 seconds', 'type': 'rate_limit_reached_error'}}"", ""reception"": ""Error: Kimi failed to generate response: Error code: 429 - {'error': {'message': 'Organization Rate limit exceeded, please try again after 1 seconds', 'type': 'rate_limit_reached_error'}}"", ""watch_context"": ""Error: Kimi failed to generate response: Error code: 429 - {'error': {'message': 'Organization Rate limit exceeded, please try again after 1 seconds', 'type': 'rate_limit_reached_error'}}""}"
"A24 vibe, but I want it less depressing, more hopeful","{""narrative_techniques"": ""Error: Kimi failed to generate response: Error code: 429 - {'error': {'message': 'Organization Rate limit exceeded, please try again after 1 seconds', 'type': 'rate_limit_reached_error'}}"", ""plot_events"": ""Error: Kimi failed to generate response: Error code: 429 - {'error': {'message': 'Organization Rate limit exceeded, please try again after 1 seconds', 'type': 'rate_limit_reached_error'}}"", ""watch_context"": ""Error: Kimi failed to generate response: Error code: 429 - {'error': {'message': 'Organization Rate limit exceeded, please try again after 1 seconds', 'type': 'rate_limit_reached_error'}}"", ""production"": ""Error: Kimi failed to generate response: Error code: 429 - {'error': {'message': 'Organization Rate limit exceeded, please try again after 1 seconds', 'type': 'rate_limit_reached_error'}}"", ""reception"": ""Error: Kimi failed to generate response: Error code: 429 - {'error': {'message': 'Organization Rate limit exceeded, please try again after 1 seconds', 'type': 'rate_limit_reached_error'}}"", ""plot_analysis"": ""Error: Kimi failed to generate response: Error code: 429 - {'error': {'message': 'Organization Rate limit exceeded, please try again after 1 seconds', 'type': 'rate_limit_reached_error'}}"", ""viewer_experience"": ""Error: Kimi failed to generate response: Error code: 429 - {'error': {'message': 'Organization Rate limit exceeded, please try again after 1 seconds', 'type': 'rate_limit_reached_error'}}""}"
